Employee ID,Date,Arrival Time,Departure Time,Status,Working Hours
1,10-08-2026,09:00,17:00,Present,8.0
1,11-08-2026,08:55,17:00,Present,8.08
1,12-08-2026,09:00,17:00,Present,8.0
1,13-08-2026,09:00,17:05,Present,8.08
1,14-08-2026,08:50,17:00,Present,8.17
2,10-08-2026,09:10,17:00,Late,7.83
2,11-08-2026,09:15,17:00,Late,7.75
2,12-08-2026,09:20,17:00,Late,7.67
2,13-08-2026,09:00,17:00,Present,8.0
3,10-08-2026,,,Absent,0
3,11-08-2026,,,Absent,0
3,12-08-2026,,,Absent,0
3,13-08-2026,09:00,17:00,Present,8.0
4,10-08-2026,09:00,17:00,Present,8.0
4,11-08-2026,09:12,17:00,Late,7.8
4,12-08-2026,,,Vacation,0
4,13-08-2026,,,Vacation,0
5,10-08-2026,,,Absent,0
5,11-08-2026,,,Absent,0
5,12-08-2026,,,Absent,0
5,13-08-2026,,,Absent,0
5,14-08-2026,09:05,17:00,Late,7.92
6,10-08-2026,09:00,17:00,Present,8.0
6,11-08-2026,08:58,17:00,Present,8.03
7,10-08-2026,09:18,17:00,Late,7.7
7,11-08-2026,,,Absent,0
7,12-08-2026,,,Vacation,0
8,10-08-2026,09:07,17:00,Late,7.88
8,11-08-2026,09:09,17:00,Late,7.85
8,12-08-2026,09:00,17:00,Present,8.0
10,10-08-2026,09:00,17:00,Present,8.0
